,Game,reviews,release date,developer,genre,Price,Owners
0,PLAYERUNKNOWN'S BATTLEGROUNDS, 49% ,2017-12-21,PUBG Corporation,"Action,Adventure,Massively Multiplayer",29.99,"50,000,000 - 100,000,000"
1,DayZ, 61% ,2018-12-13,Bohemia Interactive,"Action,Adventure,Massively Multiplayer",44.99,"5,000,000 - 10,000,000"
2,EVE Online, 74% ,2003-05-06,CCP,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",0.0,"2,000,000 - 5,000,000"
3,Devil May Cry 5, 92% ,2019-03-07,"CAPCOM Co., Ltd.",Action,59.99,"2,000,000 - 5,000,000"
4,Human: Fall Flat, 91% ,2016-07-22,No Brakes Games,"Adventure,Indie",14.99,"5,000,000 - 10,000,000"
5,They Are Billions, 85% ,2017-12-12,Numantian Games,"Strategy,Early Access",29.99,"1,000,000 - 2,000,000"
6,Stonehearth, 75% ,2018-07-25,Radiant Entertainment,"Indie,Simulation,Strategy",19.99,"500,000 - 1,000,000"
7,GOD EATER 3, 77% ,2019-02-07,BANDAI NAMCO Studios Inc.,Action,59.99,"100,000 - 200,000"
8,"Star Wars: Battlefront 2 (Classic, 2005)", 91% ,2005-11-01,Pandemic Studios,Action,9.99,"2,000,000 - 5,000,000"
9,Battlefleet Gothic: Armada 2, 72% ,2019-01-24,Tindalos Interactive,Strategy,39.99,"100,000 - 200,000"
10,RUNNING WITH RIFLES, 87% ,2015-04-02,Osumia Games,"Action,Indie",14.99,"1,000,000 - 2,000,000"
11,The Witcher: Enhanced Edition Director's Cut, 85% ,2008-09-16,CD PROJEKT RED,"Action,RPG",9.99,"2,000,000 - 5,000,000"
12,Forts, 79% ,2017-04-19,EarthWork Games,"Action,Strategy",14.99,"200,000 - 500,000"
13,Northgard, 83% ,2018-03-07,Shiro Games,"Indie,Simulation,Strategy",29.99,"2,000,000 - 5,000,000"
14,Realm Royale, 64% ,2018-06-05,Heroic Leap Games,"Action,Free to Play,Early Access",0.0,"5,000,000 - 10,000,000"
15,Men of War: Assault Squad 2, 84% ,2014-05-15,Digitalmindsoft,"Action,Simulation,Strategy",84.97,"1,000,000 - 2,000,000"
16,JUMP FORCE, 55% ,2019-02-14,"Spike Chunsoft Co., Ltd.",Action,59.99,"200,000 - 500,000"
17,Ring of Elysium, 74% ,2018-09-19,Aurora Studio,"Action,Free to Play,Massively Multiplayer,Early Access",0.0,"10,000,000 - 20,000,000"
18,TEKKEN 7, 81% ,2017-06-01,BANDAI NAMCO Studios Inc.,"Action,Sports",39.99,"2,000,000 - 5,000,000"
19,Golf It!, 80% ,2017-02-17,Perfuse Entertainment,"Casual,Indie,Simulation,Sports,Early Access",8.99,"1,000,000 - 2,000,000"
20,Heroes & Generals, 65% ,2016-10-18,RETO MOTO,"Action,Free to Play,Indie,Massively Multiplayer,Strategy",0.0,"10,000,000 - 20,000,000"
21,DRAGON BALL FighterZ, 82% ,2018-01-26,Arc System Works,Action,59.99,"1,000,000 - 2,000,000"
22,DRAGON BALL XENOVERSE 2, 78% ,2016-10-27,"QLOC,DIMPS","Action,Adventure,Casual,Massively Multiplayer",49.99,"500,000 - 1,000,000"
23,Frostpunk, 86% ,2018-04-24,11 bit studios,"Simulation,Strategy",29.99,"2,000,000 - 5,000,000"
24,Fable Anniversary, 77% ,2014-09-12,Lionhead Studios,RPG,34.99,"500,000 - 1,000,000"
25,PC Building Simulator, 88% ,2019-01-29,"Claudiu Kiss,The Irregular Corporation","Indie,Simulation",19.99,"1,000,000 - 2,000,000"
26,DiRT Rally 2.0, 64% ,2019-02-25,Codemasters,"Racing,Simulation,Sports",59.99,"1,000,000 - 2,000,000"
27,Scrap Mechanic, 84% ,2016-01-19,Axolot Games,"Action,Adventure,Indie,Simulation,Early Access",19.99,"5,000,000 - 10,000,000"
28,Prison Architect, 93% ,2015-10-06,Introversion Software,"Indie,Simulation,Strategy",29.99,"2,000,000 - 5,000,000"
29,Bloons TD 6, 68% ,2018-12-17,Ninja Kiwi,Strategy,9.99,"2,000,000 - 5,000,000"
30,The Universim, 73% ,2018-08-28,Crytivo,"Indie,Simulation,Strategy,Early Access",29.99,"200,000 - 500,000"
31,Sniper Elite 4, 85% ,2017-02-13,Rebellion,"Action,Adventure",59.99,"2,000,000 - 5,000,000"
32,SCUM, 64% ,2018-08-29,"Gamepires,Croteam","Action,Adventure,Indie,Massively Multiplayer,Early Access",19.99,"2,000,000 - 5,000,000"
33,Golf With Your Friends, 89% ,2016-01-29,Blacklight Interactive,"Casual,Indie,Sports,Early Access",5.99,"1,000,000 - 2,000,000"
34,Company of Heroes 2, 74% ,2013-06-25,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",Strategy,19.99,"2,000,000 - 5,000,000"
35,Pummel Party, 82% ,2018-09-20,Rebuilt Games,"Action,Casual,Indie",14.99,"2,000,000 - 5,000,000"
36,The Isle, 69% ,2015-12-01,Afterthought LLC,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access",19.99,"1,000,000 - 2,000,000"
38,"Hot Dogs, Horseshoes & Hand Grenades", 96% ,2016-04-05,RUST LTD.,"Action,Indie,Simulation,Early Access",19.99,"500,000 - 1,000,000"
39,Project CARS 2, 71% ,2017-09-21,Slightly Mad Studios,Racing,59.99,"1,000,000 - 2,000,000"
