Game,Owners,Price,_id,developer,genre,release date,reviews
"PLAYERUNKNOWN'S BATTLEGROUNDS","50,000,000 - 100,000,000",29.99,60c187a2e67d88c2e62da54f,PUBG Corporation,"Action,Adventure,Massively Multiplayer",2017-12-21T00:00:00.000Z, 49% 
DayZ,"5,000,000 - 10,000,000",44.99,60c187a2e67d88c2e62da550,Bohemia Interactive,"Action,Adventure,Massively Multiplayer",2018-12-13T00:00:00.000Z, 61% 
EVE Online,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da551,CCP,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",2003-05-06T00:00:00.000Z, 74% 
Devil May Cry 5,"2,000,000 - 5,000,000",59.99,60c187a2e67d88c2e62da552,"CAPCOM Co., Ltd.",Action,2019-03-07T00:00:00.000Z, 92% 
Human: Fall Flat,"5,000,000 - 10,000,000",14.99,60c187a2e67d88c2e62da553,No Brakes Games,"Adventure,Indie",2016-07-22T00:00:00.000Z, 91% 
They Are Billions,"1,000,000 - 2,000,000",29.99,60c187a2e67d88c2e62da554,Numantian Games,"Strategy,Early Access",2017-12-12T00:00:00.000Z, 85% 
Stonehearth,"500,000 - 1,000,000",19.99,60c187a2e67d88c2e62da555,Radiant Entertainment,"Indie,Simulation,Strategy",2018-07-25T00:00:00.000Z, 75% 
GOD EATER 3,"100,000 - 200,000",59.99,60c187a2e67d88c2e62da556,BANDAI NAMCO Studios Inc.,Action,2019-02-07T00:00:00.000Z, 77% 
"Star Wars: Battlefront 2 (Classic, 2005)","2,000,000 - 5,000,000",9.99,60c187a2e67d88c2e62da557,Pandemic Studios,Action,2005-11-01T00:00:00.000Z, 91% 
Battlefleet Gothic: Armada 2,"100,000 - 200,000",39.99,60c187a2e67d88c2e62da558,Tindalos Interactive,Strategy,2019-01-24T00:00:00.000Z, 72% 
RUNNING WITH RIFLES,"1,000,000 - 2,000,000",14.99,60c187a2e67d88c2e62da559,Osumia Games,"Action,Indie",2015-04-02T00:00:00.000Z, 87% 
"The Witcher: Enhanced Edition Director's Cut","2,000,000 - 5,000,000",9.99,60c187a2e67d88c2e62da55a,CD PROJEKT RED,"Action,RPG",2008-09-16T00:00:00.000Z, 85% 
Forts,"200,000 - 500,000",14.99,60c187a2e67d88c2e62da55b,EarthWork Games,"Action,Strategy",2017-04-19T00:00:00.000Z, 79% 
Northgard,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da55c,Shiro Games,"Indie,Simulation,Strategy",2018-03-07T00:00:00.000Z, 83% 
Realm Royale,"5,000,000 - 10,000,000",0,60c187a2e67d88c2e62da55d,Heroic Leap Games,"Action,Free to Play,Early Access",2018-06-05T00:00:00.000Z, 64% 
Men of War: Assault Squad 2,"1,000,000 - 2,000,000",84.97,60c187a2e67d88c2e62da55e,Digitalmindsoft,"Action,Simulation,Strategy",2014-05-15T00:00:00.000Z, 84% 
JUMP FORCE,"200,000 - 500,000",59.99,60c187a2e67d88c2e62da55f,"Spike Chunsoft Co., Ltd.",Action,2019-02-14T00:00:00.000Z, 55% 
Ring of Elysium,"10,000,000 - 20,000,000",0,60c187a2e67d88c2e62da560,Aurora Studio,"Action,Free to Play,Massively Multiplayer,Early Access",2018-09-19T00:00:00.000Z, 74% 
TEKKEN 7,"2,000,000 - 5,000,000",39.99,60c187a2e67d88c2e62da561,BANDAI NAMCO Studios Inc.,"Action,Sports",2017-06-01T00:00:00.000Z, 81% 
Golf It!,"1,000,000 - 2,000,000",8.99,60c187a2e67d88c2e62da562,Perfuse Entertainment,"Casual,Indie,Simulation,Sports,Early Access",2017-02-17T00:00:00.000Z, 80% 
Heroes & Generals,"10,000,000 - 20,000,000",0,60c187a2e67d88c2e62da563,RETO MOTO,"Action,Free to Play,Indie,Massively Multiplayer,Strategy",2016-10-18T00:00:00.000Z, 65% 
DRAGON BALL FighterZ,"1,000,000 - 2,000,000",59.99,60c187a2e67d88c2e62da564,Arc System Works,Action,2018-01-26T00:00:00.000Z, 82% 
DRAGON BALL XENOVERSE 2,"500,000 - 1,000,000",49.99,60c187a2e67d88c2e62da565,"QLOC,DIMPS","Action,Adventure,Casual,Massively Multiplayer",2016-10-27T00:00:00.000Z, 78% 
Frostpunk,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da566,11 bit studios,"Simulation,Strategy",2018-04-24T00:00:00.000Z, 86% 
Fable Anniversary,"500,000 - 1,000,000",34.99,60c187a2e67d88c2e62da567,Lionhead Studios,RPG,2014-09-12T00:00:00.000Z, 77% 
PC Building Simulator,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da568,"Claudiu Kiss,The Irregular Corporation","Indie,Simulation",2019-01-29T00:00:00.000Z, 88% 
DiRT Rally 2.0,"1,000,000 - 2,000,000",59.99,60c187a2e67d88c2e62da569,Codemasters,"Racing,Simulation,Sports",2019-02-25T00:00:00.000Z, 64% 
Scrap Mechanic,"5,000,000 - 10,000,000",19.99,60c187a2e67d88c2e62da56a,Axolot Games,"Action,Adventure,Indie,Simulation,Early Access",2016-01-19T00:00:00.000Z, 84% 
Prison Architect,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da56b,Introversion Software,"Indie,Simulation,Strategy",2015-10-06T00:00:00.000Z, 93% 
Bloons TD 6,"2,000,000 - 5,000,000",9.99,60c187a2e67d88c2e62da56c,Ninja Kiwi,Strategy,2018-12-17T00:00:00.000Z, 68% 
The Universim,"200,000 - 500,000",29.99,60c187a2e67d88c2e62da56d,Crytivo,"Indie,Simulation,Strategy,Early Access",2018-08-28T00:00:00.000Z, 73% 
Sniper Elite 4,"2,000,000 - 5,000,000",59.99,60c187a2e67d88c2e62da56e,Rebellion,"Action,Adventure",2017-02-13T00:00:00.000Z, 85% 
SCUM,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da56f,"Gamepires,Croteam","Action,Adventure,Indie,Massively Multiplayer,Early Access",2018-08-29T00:00:00.000Z, 64% 
Golf With Your Friends,"1,000,000 - 2,000,000",5.99,60c187a2e67d88c2e62da570,Blacklight Interactive,"Casual,Indie,Sports,Early Access",2016-01-29T00:00:00.000Z, 89% 
Company of Heroes 2,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da571,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",Strategy,2013-06-25T00:00:00.000Z, 74% 
Pummel Party,"2,000,000 - 5,000,000",14.99,60c187a2e67d88c2e62da572,Rebuilt Games,"Action,Casual,Indie",2018-09-20T00:00:00.000Z, 82% 
The Isle,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da573,Afterthought LLC,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access",2015-12-01T00:00:00.000Z, 69% 
"Hot Dogs, Horseshoes & Hand Grenades","500,000 - 1,000,000",19.99,60c187a2e67d88c2e62da574,RUST LTD.,"Action,Indie,Simulation,Early Access",2016-04-05T00:00:00.000Z, 96% 
Project CARS 2,"1,000,000 - 2,000,000",59.99,60c187a2e67d88c2e62da575,Slightly Mad Studios,Racing,2017-09-21T00:00:00.000Z, 71% 
Euro Truck Simulator 2,"5,000,000 - 10,000,000",19.99,60c187a2e67d88c2e62da576,SCS Software,"Indie,Simulation",2012-10-12T00:00:00.000Z, 96% 
